source,source_type,target,target_type
AT1G67550,gene,AT5G43600,gene
AT4G20070,gene,AT4G04955,gene
AT2G26230,gene,AT5G58220,gene
AT4G34890,gene,AT2G26230,gene
AT4G34890,gene,AT2G26230,gene
AT4G13720,gene,AT4G09320,gene
AT4G13720,gene,AT1G14230,gene
AT4G09320,gene,AT1G14230,gene
AT1G14230,gene,AT1G14230,gene
AT1G72880,gene,AT4G13720,gene
AT1G72880,gene,AT1G63660,gene
AT1G72880,gene,AT1G16350,gene
AT1G72880,gene,AT1G71750,gene
AT4G13720,gene,AT1G63660,gene
AT4G13720,gene,AT1G16350,gene
AT4G13720,gene,AT1G71750,gene
AT1G63660,gene,AT1G16350,gene
AT1G63660,gene,AT1G71750,gene
AT1G16350,gene,AT1G71750,gene
AT1G71750,gene,AT4G34890,gene
AT1G71750,gene,AT4G34890,gene
AT1G71750,gene,AT4G34890,gene
AT1G71750,gene,AT4G34890,gene
AT4G34890,gene,AT4G34890,gene
AT4G34890,gene,AT4G34890,gene
AT1G63660,gene,AT4G13720,gene
AT1G63660,gene,AT1G14230,gene
AT1G63660,gene,AT2G41880,gene
AT1G63660,gene,AT1G27450,gene
AT1G63660,gene,AT1G71750,gene
AT1G63660,gene,AT1G72880,gene
AT4G13720,gene,AT1G14230,gene
AT4G13720,gene,AT2G41880,gene
AT4G13720,gene,AT1G27450,gene
AT4G13720,gene,AT1G71750,gene
AT4G13720,gene,AT1G72880,gene
AT1G14230,gene,AT1G27450,gene
AT1G14230,gene,AT1G71750,gene
AT1G14230,gene,AT1G72880,gene
AT2G41880,gene,AT1G27450,gene
AT2G41880,gene,AT1G71750,gene
AT2G41880,gene,AT1G72880,gene
AT1G27450,gene,AT1G72880,gene
AT1G71750,gene,AT1G72880,gene
AT2G41880,gene,AT4G13720,gene
AT2G41880,gene,AT1G72880,gene
AT4G13720,gene,AT1G72880,gene
AT2G41880,gene,AT4G09320,gene
AT1G32440,gene,AT2G41880,gene
AT2G21790,gene,AT4G09320,gene
AT2G21790,gene,AT1G32440,gene
AT2G21790,gene,AT2G41880,gene
AT4G13720,gene,AT4G09320,gene
AT4G13720,gene,AT1G32440,gene
AT4G13720,gene,AT1G14230,gene
AT1G14230,gene,AT2G21790,gene
AT1G14230,gene,AT1G14230,gene
AT1G14230,gene,AT1G32440,gene
AT1G14230,gene,AT4G09320,gene
AT2G41880,gene,AT2G21790,gene
AT2G41880,gene,AT1G14230,gene
AT2G41880,gene,AT1G32440,gene
AT2G41880,gene,AT4G09320,gene
AT2G21790,gene,AT1G14230,gene
AT2G21790,gene,AT1G32440,gene
AT2G21790,gene,AT4G09320,gene
AT1G14230,gene,AT1G54130,gene
AT1G32440,gene,AT1G54130,gene
AT4G09320,gene,AT1G54130,gene
AT4G13720,gene,AT1G54130,gene
AT4G13720,gene,AT1G32440,gene
AT4G13720,gene,AT4G09320,gene
AT2G37250,gene,AT1G36280,gene
AT1G14230,gene,AT1G36280,gene
AT1G36280,gene,AT2G38280,gene
AT1G36280,gene,AT3G09820,gene
AT1G36280,gene,AT1G72880,gene
AT1G36280,gene,AT1G27450,gene
AT4G09320,gene,AT1G32440,gene
AT4G09320,gene,AT5G66005,gene
AT1G32440,gene,AT5G66005,gene
AT1G14230,gene,AT2G41880,gene
AT5G58220,gene,AT5G58220,gene
AT4G04955,gene,AT5G58220,gene
AT1G32380,gene,AT1G23190,gene
AT4G11980,gene,AT1G23190,gene
AT1G23190,gene,AT2G42070,gene
AT1G14230,gene,AT2G37250,gene
AT1G72880,gene,AT3G09820,gene
AT4G20070,gene,AT4G17050,gene
AT4G09320,gene,AT1G14230,gene
AT1G14230,gene,AT4G29680,gene
AT1G32440,gene,AT4G29680,gene
AT4G09320,gene,AT4G29680,gene
AT1G27450,gene,AT4G29680,gene
AT1G72880,gene,AT4G29680,gene
AT1G71750,gene,AT4G29680,gene
AT1G63660,gene,AT4G29680,gene
AT1G54130,gene,AT4G29680,gene
AT4G29680,gene,AT1G36280,gene
AT4G29680,gene,AT2G38280,gene
AT4G29680,gene,AT1G72880,gene
AT4G29680,gene,AT3G09820,gene
AT1G27450,gene,AT4G29680,gene
AT2G37250,gene,AT4G29680,gene
AT1G14230,gene,AT4G29680,gene
AT1G29900,gene,AT3G20330,gene
AT3G20330,gene,AT4G22930,gene
AT4G22930,gene,AT5G23300,gene
AT3G54470,gene,AT5G23300,gene
AT3G54470,gene,AT3G54470,gene
AT1G26190,gene,AT3G54470,gene
AT1G72880,gene,AT3G54470,gene
AT3G53900,gene,AT3G54470,gene
AT3G54470,gene,AT4G29680,gene
AT1G14230,gene,AT3G54470,gene
AT3G18680,gene,AT3G54470,gene
AT3G60180,gene,AT3G54470,gene
AT3G53900,gene,AT1G26190,gene
AT1G26190,gene,AT4G29680,gene
AT1G14230,gene,AT1G26190,gene
AT3G18680,gene,AT1G26190,gene
AT3G60180,gene,AT1G26190,gene
AT3G53900,gene,AT1G72880,gene
AT1G72880,gene,AT4G29680,gene
AT1G14230,gene,AT1G72880,gene
AT3G18680,gene,AT1G72880,gene
AT3G60180,gene,AT1G72880,gene
AT3G53900,gene,AT4G29680,gene
AT1G14230,gene,AT3G53900,gene
AT3G18680,gene,AT3G53900,gene
AT3G60180,gene,AT3G53900,gene
AT1G14230,gene,AT4G29680,gene
AT3G18680,gene,AT4G29680,gene
AT3G60180,gene,AT4G29680,gene
AT3G60180,gene,AT1G14230,gene
AT4G09320,gene,AT3G60180,gene
AT3G18680,gene,AT1G14230,gene
AT3G18680,gene,AT4G09320,gene
AT1G14230,gene,AT1G14230,gene
AT4G09320,gene,AT1G14230,gene
AT4G09320,gene,AT4G29680,gene
AT4G09320,gene,AT1G30820,gene
AT1G14230,gene,AT4G29680,gene
AT1G30820,gene,AT1G14230,gene
AT1G30820,gene,AT4G29680,gene
AT1G30820,gene,AT1G14230,gene
AT1G30820,gene,AT4G09320,gene
AT1G14230,gene,AT2G21790,gene
AT1G14230,gene,AT1G14230,gene
AT1G14230,gene,AT3G60180,gene
AT4G09320,gene,AT2G21790,gene
AT4G09320,gene,AT1G14230,gene
AT4G09320,gene,AT3G60180,gene
AT1G14230,gene,AT2G21790,gene
AT3G60180,gene,AT2G21790,gene
AT3G60180,gene,AT1G72880,gene
AT3G60180,gene,AT1G26190,gene
AT1G14230,gene,AT1G72880,gene
AT1G14230,gene,AT1G26190,gene
AT1G26190,gene,AT2G19570,gene
AT1G72880,gene,AT2G19570,gene
AT1G26190,gene,AT2G36310,gene
AT1G26190,gene,AT2G19570,gene
AT1G72880,gene,AT2G36310,gene
AT1G72880,gene,AT2G19570,gene
AT2G36310,gene,AT2G19570,gene
AT3G53900,gene,AT2G36310,gene
AT2G36310,gene,AT3G17810,gene
AT2G36310,gene,AT1G50510,gene
AT3G53900,gene,AT3G17810,gene
AT3G53900,gene,AT1G50510,gene
AT3G17810,gene,AT1G50510,gene
AT3G17810,gene,AT5G12200,gene
AT5G12200,gene,AT5G64370,gene
AT3G25400,gene,AT3G25400,gene
AT3G48540,gene,AT3G25400,gene
AT1G72880,gene,AT3G25400,gene
AT3G60180,gene,AT3G25400,gene
AT3G60180,gene,AT3G48540,gene
AT3G60180,gene,AT1G72880,gene
AT3G25400,gene,AT3G48540,gene
AT3G25400,gene,AT1G72880,gene
AT1G72880,gene,AT3G48540,gene
AT1G72880,gene,AT2G19570,gene
AT3G07800,gene,AT2G19570,gene
AT3G48540,gene,AT3G07800,gene
AT3G48540,gene,AT2G16370,gene
AT3G48540,gene,AT5G59440,gene
AT3G48540,gene,AT3G46940,gene
AT3G07800,gene,AT2G16370,gene
AT5G59440,gene,AT3G07800,gene
AT3G46940,gene,AT3G07800,gene
AT5G59440,gene,AT2G16370,gene
AT3G46940,gene,AT2G16370,gene
AT3G46940,gene,AT5G59440,gene
AT4G09320,gene,AT5G59440,gene
AT4G09320,gene,AT2G21790,gene
AT5G59440,gene,AT2G21790,gene
AT3G46940,gene,AT4G09320,gene
AT4G09320,gene,AT5G59440,gene
AT4G09320,gene,AT1G14230,gene
AT1G14230,gene,AT5G59440,gene
AT1G14230,gene,AT1G14230,gene
AT2G16370,gene,AT5G59440,gene
AT5G59440,gene,AT1G72880,gene
AT5G59440,gene,AT3G07800,gene
AT2G16370,gene,AT1G14230,gene
AT1G14230,gene,AT1G72880,gene
AT1G14230,gene,AT3G07800,gene
AT2G16370,gene,AT1G72880,gene
AT2G16370,gene,AT3G07800,gene
AT3G17810,gene,AT5G12200,gene
AT5G12200,gene,AT5G64370,gene
AT4G09320,gene,AT3G25400,gene
AT3G48540,gene,AT3G60180,gene
AT3G48540,gene,AT3G25400,gene
AT3G60180,gene,AT3G25400,gene
AT2G16370,gene,AT1G72880,gene
AT5G59440,gene,AT1G72880,gene
AT1G72880,gene,AT3G46940,gene
AT1G72880,gene,AT3G48540,gene
AT1G72880,gene,AT2G19570,gene
AT4G29680,gene,AT1G14230,gene
AT4G29680,gene,AT1G30820,gene
AT4G09320,gene,AT4G29680,gene
AT4G29680,gene,AT3G60180,gene
AT4G29680,gene,AT1G72880,gene
AT4G29680,gene,AT1G14230,gene
AT4G09320,gene,AT2G21790,gene
AT4G09320,gene,AT3G60180,gene
AT4G09320,gene,AT3G25400,gene
AT2G21790,gene,AT3G60180,gene
AT2G21790,gene,AT3G25400,gene
AT1G26190,gene,AT4G29680,gene
AT5G10920,gene,AT1G36280,gene
AT3G03910,gene,AT5G53460,gene
AT3G03910,gene,AT5G12040,gene
AT1G51720,gene,AT5G53460,gene
AT1G51720,gene,AT5G12040,gene
AT5G53460,gene,AT5G12040,gene
AT2G16570,gene,AT1G29900,gene
AT2G16570,gene,AT3G24090,gene
AT2G16570,gene,AT1G48470,gene
AT2G16570,gene,AT5G53460,gene
AT1G29900,gene,AT3G24090,gene
AT1G29900,gene,AT1G48470,gene
AT1G29900,gene,AT5G53460,gene
AT3G24090,gene,AT1G48470,gene
AT3G24090,gene,AT5G53460,gene
AT1G48470,gene,AT5G53460,gene
AT5G62530,gene,AT1G48470,gene
AT5G62530,gene,AT5G53460,gene
AT5G62530,gene,AT1G51720,gene
AT5G62530,gene,AT3G03910,gene
AT5G62530,gene,AT1G65960,gene
AT1G48470,gene,AT5G53460,gene
AT1G48470,gene,AT1G51720,gene
AT1G48470,gene,AT3G03910,gene
AT1G48470,gene,AT1G65960,gene
AT5G53460,gene,AT1G51720,gene
AT5G53460,gene,AT3G03910,gene
AT5G53460,gene,AT1G65960,gene
AT1G51720,gene,AT1G65960,gene
AT3G03910,gene,AT1G65960,gene
AT5G12040,gene,AT5G14760,gene
AT5G12040,gene,AT1G62800,gene
AT4G24830,gene,AT3G57610,gene
AT4G24830,gene,AT3G20330,gene
AT4G24830,gene,AT3G47340,gene
AT4G24830,gene,AT3G16150,gene
AT4G24830,gene,AT5G14760,gene
AT4G24830,gene,AT1G62800,gene
AT3G57610,gene,AT3G20330,gene
AT3G57610,gene,AT3G47340,gene
AT3G57610,gene,AT3G16150,gene
AT3G57610,gene,AT5G14760,gene
AT3G57610,gene,AT1G62800,gene
AT3G20330,gene,AT3G47340,gene
AT3G20330,gene,AT3G16150,gene
AT3G20330,gene,AT5G14760,gene
AT3G20330,gene,AT1G62800,gene
AT3G47340,gene,AT5G14760,gene
AT3G47340,gene,AT1G62800,gene
AT3G16150,gene,AT5G14760,gene
AT3G16150,gene,AT1G62800,gene
AT4G24830,gene,AT5G10920,gene
AT3G57610,gene,AT1G36280,gene
AT1G79440,gene,AT3G22200,gene
AT3G22200,gene,AT1G65960,gene
AT1G80380,gene,AT1G68010,gene
AT1G80380,gene,AT1G12550,gene
AT2G13360,gene,AT1G68010,gene
AT2G13360,gene,AT1G12550,gene
AT1G80380,gene,AT1G17745,gene
AT1G17745,gene,AT2G17630,gene
AT2G17630,gene,AT1G18640,gene
AT2G13360,gene,AT2G13360,gene
AT2G13360,gene,AT1G22020,gene
AT2G13360,gene,AT3G10050,gene
AT2G13360,gene,AT1G18640,gene
AT2G13360,gene,AT3G10050,gene
AT2G13360,gene,AT1G18640,gene
AT1G22020,gene,AT3G10050,gene
AT1G18640,gene,AT1G22020,gene
AT1G18640,gene,AT3G10050,gene
AT1G22020,gene,AT1G11860,gene
AT1G11860,gene,AT1G48030,gene
AT2G26080,gene,AT1G48030,gene
AT3G10050,gene,AT1G08630,gene
AT1G08630,gene,AT1G72810,gene
AT3G10050,gene,AT1G72810,gene
AT1G72810,gene,AT2G17265,gene
AT2G17265,gene,AT1G31230,gene
AT1G14810,gene,AT1G31230,gene
AT1G31230,gene,AT1G14810,gene
AT1G54100,gene,AT4G29890,gene
AT1G18640,gene,AT4G11640,gene
AT2G13360,gene,AT4G11640,gene
AT2G13360,gene,AT4G11640,gene
AT1G22020,gene,AT4G11640,gene
AT3G10050,gene,AT4G11640,gene
AT1G22020,gene,AT2G24580,gene
AT1G22020,gene,AT1G08630,gene
AT1G22020,gene,AT1G08630,gene
AT1G22020,gene,AT2G26080,gene
AT1G22020,gene,AT1G23310,gene
AT2G13360,gene,AT2G24580,gene
AT2G13360,gene,AT1G08630,gene
AT2G13360,gene,AT1G08630,gene
AT2G13360,gene,AT2G26080,gene
AT2G13360,gene,AT1G23310,gene
AT2G24580,gene,AT1G08630,gene
AT2G24580,gene,AT1G08630,gene
AT2G24580,gene,AT2G26080,gene
AT2G24580,gene,AT1G23310,gene
AT1G08630,gene,AT2G26080,gene
AT1G08630,gene,AT1G23310,gene
AT1G08630,gene,AT2G26080,gene
AT1G08630,gene,AT1G23310,gene
AT2G26080,gene,AT1G23310,gene
AT2G26080,gene,AT1G11860,gene
AT3G10050,gene,AT3G54640,gene
AT3G10050,gene,AT2G13360,gene
AT3G54640,gene,AT1G22020,gene
AT3G54640,gene,AT2G13360,gene
AT3G54640,gene,AT2G13360,gene
AT3G54640,gene,AT2G13360,gene
AT3G54640,gene,AT1G18640,gene
AT3G54640,gene,AT4G11640,gene
AT1G22020,gene,AT2G13360,gene
AT2G13360,gene,AT2G13360,gene
AT2G13360,gene,AT1G18640,gene
AT2G13360,gene,AT4G11640,gene
AT1G23310,gene,AT1G22020,gene
AT1G23310,gene,AT2G13360,gene
AT1G23310,gene,AT2G24580,gene
AT1G23310,gene,AT1G08630,gene
AT1G23310,gene,AT1G08630,gene
AT1G23310,gene,AT2G26080,gene
AT1G17745,gene,AT1G22170,gene
AT1G80380,gene,AT1G22170,gene
AT1G09780,gene,AT1G80380,gene
AT1G09780,gene,AT1G17745,gene
AT1G31230,gene,AT1G14810,gene
AT1G14810,gene,AT2G45440,gene
AT2G45440,gene,AT2G44040,gene
AT1G55920,gene,AT1G55880,gene
AT3G03630,gene,AT1G55920,gene
AT1G55880,gene,AT3G57050,gene
AT1G55880,gene,AT1G62800,gene
AT3G57050,gene,AT1G62800,gene
AT1G16460,gene,AT3G57050,gene
AT1G16460,gene,AT1G48420,gene
AT3G57050,gene,AT1G48420,gene
AT1G62800,gene,AT1G16460,gene
AT1G62800,gene,AT4G17260,gene
AT1G16460,gene,AT4G17260,gene
AT3G57050,gene,AT1G33320,gene
AT3G57050,gene,AT1G33320,gene
AT1G33320,gene,AT1G33320,gene
AT1G14810,gene,AT1G31230,gene
AT1G14810,gene,AT1G31230,gene
AT3G22740,gene,AT3G23810,gene
AT3G22740,gene,AT1G33320,gene
AT3G22740,gene,AT1G33320,gene
AT3G22740,gene,AT3G57050,gene
AT3G03780,gene,AT3G23810,gene
AT3G03780,gene,AT1G33320,gene
AT3G03780,gene,AT1G33320,gene
AT3G03780,gene,AT3G57050,gene
AT3G23810,gene,AT1G33320,gene
AT3G23810,gene,AT1G33320,gene
AT3G23810,gene,AT3G57050,gene
AT1G33320,gene,AT3G57050,gene
AT1G33320,gene,AT3G57050,gene
AT3G03780,gene,AT1G64660,gene
AT3G03780,gene,AT2G24850,gene
AT3G03780,gene,AT1G77670,gene
AT3G03780,gene,AT1G02500,gene
AT3G22740,gene,AT1G64660,gene
AT3G22740,gene,AT2G24850,gene
AT3G22740,gene,AT1G77670,gene
AT3G22740,gene,AT1G02500,gene
AT1G64660,gene,AT2G24850,gene
AT1G64660,gene,AT1G77670,gene
AT1G64660,gene,AT1G02500,gene
AT2G24850,gene,AT1G02500,gene
AT1G77670,gene,AT1G02500,gene
AT3G23810,gene,AT1G69770,gene
AT1G02500,gene,AT1G69770,gene
AT1G02500,gene,AT1G01480,gene
AT1G02500,gene,AT3G02470,gene
AT1G69770,gene,AT1G01480,gene
AT1G69770,gene,AT3G02470,gene
AT1G01480,gene,AT3G02470,gene
AT3G02470,gene,AT1G23820,gene
AT1G23820,gene,AT4G34840,gene
AT1G23820,gene,AT1G01480,gene
AT4G34840,gene,AT1G01480,gene
AT4G34840,gene,AT1G49820,gene
AT1G49820,gene,AT2G05830,gene
AT5G53850,gene,AT2G05830,gene
AT5G53850,gene,AT5G53850,gene
AT2G26400,gene,AT2G26400,gene
AT2G26400,gene,AT5G53850,gene
AT2G26400,gene,AT5G53850,gene
AT1G77670,gene,AT2G26400,gene
AT2G24850,gene,AT2G26400,gene
AT1G01480,gene,AT1G05010,gene
AT1G33320,gene,AT1G33320,gene
AT1G62800,gene,AT1G04410,gene
AT1G10060,gene,AT1G33320,gene
AT2G38400,gene,AT1G33320,gene
AT1G10060,gene,AT4G23100,gene
AT2G38400,gene,AT4G23100,gene
AT4G23100,gene,AT5G27380,gene
AT3G62130,gene,AT1G48420,gene
AT3G62130,gene,AT1G16460,gene
AT3G62130,gene,AT1G62800,gene
AT3G62130,gene,AT1G55880,gene
AT3G22740,gene,AT1G80360,gene
AT3G03780,gene,AT1G80360,gene
AT1G64660,gene,AT1G80360,gene
AT1G02500,gene,AT1G80360,gene
AT1G80360,gene,AT2G26400,gene
AT2G17630,gene,AT1G17745,gene
AT2G17630,gene,AT1G55880,gene
AT1G21400,gene,AT1G10060,gene
AT1G48030,gene,AT1G21400,gene
AT1G48030,gene,AT3G06850,gene
AT1G21400,gene,AT3G06850,gene
AT3G45300,gene,AT3G06850,gene
AT3G06850,gene,AT3G06810,gene
AT4G16210,gene,AT3G45300,gene
AT1G03090,gene,AT3G45300,gene
AT4G16210,gene,AT3G06810,gene
AT1G03090,gene,AT3G06810,gene
AT1G03090,gene,AT4G16210,gene
AT4G16800,gene,AT1G03090,gene
AT2G26800,gene,AT4G16800,gene
AT4G11820,gene,AT4G16800,gene
AT5G47720,gene,AT4G11820,gene
AT5G47720,gene,AT4G11820,gene
AT5G47720,gene,AT2G26800,gene
AT2G26800,gene,AT1G04710,gene
AT4G11820,gene,AT1G04710,gene
AT5G47720,gene,AT1G04710,gene
AT1G04710,gene,AT2G14170,gene
AT4G16210,gene,AT3G06810,gene
AT3G06850,gene,AT3G06810,gene
AT1G21400,gene,AT3G06850,gene
AT1G21400,gene,AT1G48030,gene
AT1G48030,gene,AT3G06850,gene
AT1G21400,gene,AT1G10060,gene
AT1G10060,gene,AT1G21400,gene
AT1G21400,gene,AT3G06850,gene
AT1G48030,gene,AT1G21400,gene
AT1G48030,gene,AT3G06850,gene
AT3G06810,gene,AT3G06850,gene
AT4G16210,gene,AT3G06810,gene
AT1G06550,gene,AT4G16210,gene
AT1G71170,gene,AT1G06550,gene
AT2G14170,gene,AT1G71170,gene
AT1G23800,gene,AT1G71170,gene
AT1G23800,gene,AT2G14170,gene
AT4G11820,gene,AT2G26800,gene
AT4G11820,gene,AT2G26800,gene
AT3G16170,gene,AT1G23800,gene
AT2G38400,gene,AT1G71170,gene
AT2G38400,gene,AT2G14170,gene
AT2G38400,gene,AT1G23800,gene
AT1G31180,gene,AT3G10050,gene
AT1G31180,gene,AT2G31810,gene
AT3G10050,gene,AT2G31810,gene
AT2G43090,gene,AT1G31180,gene
AT3G58610,gene,AT2G31810,gene
AT3G58610,gene,AT3G23940,gene
AT1G10060,gene,AT3G23940,gene
AT3G58610,gene,AT2G31810,gene
AT3G23940,gene,AT3G58610,gene
AT1G10060,gene,AT3G23940,gene
AT1G18500,gene,AT3G23940,gene
AT1G18500,gene,AT1G10060,gene
AT2G43090,gene,AT1G18500,gene
AT1G31180,gene,AT2G43090,gene
AT1G14810,gene,AT1G31230,gene
AT1G31230,gene,AT2G45440,gene
AT1G14810,gene,AT2G45440,gene
AT1G31230,gene,AT1G14810,gene
AT2G13810,gene,AT2G44040,gene
AT2G13810,gene,AT3G53580,gene
AT3G53580,gene,AT3G14390,gene
AT2G45440,gene,AT2G44040,gene
AT4G33150,gene,AT4G33150,gene
AT4G33150,gene,AT1G54100,gene
AT4G35987,gene,AT2G17900,gene
AT4G35987,gene,AT2G17900,gene
AT2G17900,gene,AT4G35987,gene
AT4G35987,gene,AT2G17900,gene
AT4G08870,gene,AT3G47450,gene
AT4G08870,gene,AT2G16500,gene
AT3G47450,gene,AT2G16500,gene
AT2G16500,gene,AT5G08170,gene
AT5G08170,gene,AT2G27450,gene
AT3G02470,gene,AT1G23820,gene
AT1G23820,gene,AT2G27450,gene
AT5G08170,gene,AT5G61160,gene
AT5G08170,gene,AT5G61160,gene
AT2G16500,gene,AT5G61160,gene
AT2G27450,gene,AT5G61160,gene
AT2G27450,gene,AT5G61160,gene
AT5G61160,gene,AT1G23820,gene
AT5G61160,gene,AT1G23820,gene
AT4G29720,gene,AT5G13700,gene
AT4G29720,gene,AT1G23820,gene
AT4G29720,gene,AT1G65840,gene
AT1G65840,gene,AT5G13700,gene
AT1G65840,gene,AT1G23820,gene
AT1G65840,gene,AT1G65840,gene
AT5G13700,gene,AT1G23820,gene
AT5G13700,gene,AT1G65840,gene
AT1G23800,gene,AT5G13700,gene
AT1G65840,gene,AT5G61160,gene
AT1G65840,gene,AT5G61160,gene
AT1G65840,gene,AT2G27450,gene
AT2G39800,gene,AT5G62530,gene
AT2G39800,gene,AT5G62530,gene
AT2G16500,gene,AT5G61160,gene
AT5G61160,gene,AT5G61160,gene
AT5G61160,gene,AT5G61160,gene
AT2G39800,gene,AT2G39800,gene
AT5G46180,gene,AT2G39800,gene
AT5G46180,gene,AT5G62530,gene
AT5G46180,gene,AT5G62530,gene
AT2G39800,gene,AT5G62530,gene
AT2G39800,gene,AT5G62530,gene
AT4G08870,gene,AT5G46180,gene
AT5G62530,gene,AT3G30775,gene
AT5G62530,gene,AT5G14800,gene
AT3G30775,gene,AT1G20270,gene
AT3G30775,gene,AT2G14260,gene
AT5G14800,gene,AT1G20270,gene
AT5G14800,gene,AT2G14260,gene
AT1G20270,gene,AT2G14260,gene
AT1G20270,gene,AT5G14800,gene
AT5G14800,gene,AT5G62530,gene
AT5G62530,gene,AT1G62800,gene
AT5G62530,gene,AT1G62800,gene
AT1G09795,gene,AT1G31860,gene
AT1G31860,gene,AT1G31860,gene
AT2G36230,gene,AT1G31860,gene
AT1G71920,gene,AT3G22425,gene
AT4G39120,gene,AT1G71920,gene
AT5G63890,gene,AT4G39120,gene
AT2G36230,gene,AT4G26900,gene
AT4G26900,gene,AT3G22425,gene
AT2G20340,gene,AT1G31670,gene
AT4G28680,gene,AT1G31670,gene
AT5G54080,gene,AT1G06570,gene
AT2G02380,gene,AT5G54080,gene
AT1G12050,gene,AT2G02380,gene
AT5G57170,gene,AT1G06570,gene
AT1G06570,gene,AT1G71920,gene
AT1G06570,gene,AT2G24850,gene
AT1G62800,gene,AT1G06570,gene
AT5G57170,gene,AT1G71920,gene
AT5G57170,gene,AT2G24850,gene
AT1G62800,gene,AT5G57170,gene
AT1G62800,gene,AT2G20340,gene
AT1G62800,gene,AT4G28680,gene
AT2G20340,gene,AT1G71920,gene
AT4G28680,gene,AT1G71920,gene
AT2G24850,gene,AT2G20340,gene
AT2G24850,gene,AT4G28680,gene
AT4G28680,gene,AT1G31670,gene
AT2G20340,gene,AT1G31670,gene
AT1G12050,gene,AT3G16700,gene
AT2G37040,gene,AT2G20340,gene
AT2G37040,gene,AT1G71920,gene
AT2G37040,gene,AT2G24850,gene
AT2G37040,gene,AT1G62800,gene
AT2G20340,gene,AT1G71920,gene
AT2G20340,gene,AT2G24850,gene
AT2G20340,gene,AT1G62800,gene
AT2G20340,gene,AT1G31670,gene
AT1G62800,gene,AT5G57170,gene
AT2G24850,gene,AT5G57170,gene
AT1G71920,gene,AT5G57170,gene
AT1G06570,gene,AT5G57170,gene
AT1G06570,gene,AT1G62800,gene
AT1G06570,gene,AT2G24850,gene
AT1G06570,gene,AT1G71920,gene
AT3G15290,gene,AT4G16210,gene
AT3G44300,gene,AT1G47600,gene
AT1G26220,gene,AT2G20340,gene
AT4G35150,gene,AT1G26220,gene
AT2G22330,gene,AT2G20340,gene
AT1G11610,gene,AT1G47600,gene
AT1G11610,gene,AT3G44300,gene
AT1G04580,gene,AT3G44300,gene
AT1G04580,gene,AT1G08980,gene
AT1G23800,gene,AT3G44300,gene
AT1G23800,gene,AT1G08980,gene
AT3G44300,gene,AT1G08980,gene
AT2G22330,gene,AT4G31500,gene
AT2G22330,gene,AT1G11610,gene
AT4G31500,gene,AT1G11610,gene
AT4G31500,gene,AT2G20610,gene
AT2G20610,gene,AT1G24100,gene
AT1G24100,gene,AT1G74100,gene
AT1G74100,gene,AT1G47600,gene
AT1G23320,gene,AT2G20340,gene
AT1G23320,gene,AT2G22330,gene
AT1G04580,gene,AT1G04180,gene
AT1G23800,gene,AT1G04180,gene
AT3G44300,gene,AT1G04180,gene
AT1G08980,gene,AT1G04180,gene
AT1G23320,gene,AT1G04180,gene
AT2G20340,gene,AT1G23320,gene
AT2G20340,gene,AT2G22330,gene
AT2G22330,gene,AT1G80360,gene
AT1G04180,gene,AT1G80360,gene
AT3G44300,gene,AT1G14120,gene
AT1G23800,gene,AT1G14120,gene
AT1G04580,gene,AT1G14120,gene
AT1G04180,gene,AT1G14120,gene
AT1G08980,gene,AT1G14120,gene
AT5G66120,gene,AT1G22410,gene
AT3G06350,gene,AT5G66120,gene
AT3G06350,gene,AT3G06350,gene
AT2G21940,gene,AT3G06350,gene
AT1G48860,gene,AT2G21940,gene
AT1G48850,gene,AT1G48860,gene
AT1G48850,gene,AT1G24807,gene
AT1G48850,gene,AT1G69370,gene
AT1G24807,gene,AT1G69370,gene
AT5G17990,gene,AT1G24807,gene
AT1G07780,gene,AT5G17990,gene
AT2G04400,gene,AT1G07780,gene
AT3G54640,gene,AT2G04400,gene
AT3G54640,gene,AT2G04400,gene
AT2G24850,gene,AT1G08250,gene
AT2G24850,gene,AT1G08250,gene
AT1G08250,gene,AT1G71920,gene
AT1G08250,gene,AT1G71920,gene
AT1G08250,gene,AT1G62800,gene
AT1G08250,gene,AT1G62800,gene
AT1G08250,gene,AT1G62800,gene
AT1G08250,gene,AT1G62800,gene
AT1G08250,gene,AT2G24850,gene
AT1G08250,gene,AT2G24850,gene
AT1G08250,gene,AT1G71920,gene
AT1G08250,gene,AT1G71920,gene
AT1G69370,gene,AT1G08250,gene
AT1G69370,gene,AT1G08250,gene
AT1G08250,gene,AT1G15710,gene
AT1G08250,gene,AT1G15710,gene
AT1G15710,gene,AT1G71920,gene
AT1G15710,gene,AT1G62800,gene
AT1G15710,gene,AT2G24850,gene
AT2G22250,gene,AT1G15710,gene
AT2G22250,gene,AT1G08250,gene
AT2G22250,gene,AT1G08250,gene
AT2G22250,gene,AT1G15710,gene
AT2G22250,gene,AT1G08250,gene
AT2G22250,gene,AT1G08250,gene
AT1G69370,gene,AT2G22250,gene
AT1G69370,gene,AT2G22250,gene
AT1G08250,gene,AT2G22250,gene
AT1G08250,gene,AT2G22250,gene
AT1G08250,gene,AT2G22250,gene
AT1G08250,gene,AT2G22250,gene
AT5G12200,gene,AT3G17810,gene
AT5G64370,gene,AT5G12200,gene
AT5G48840,gene,AT5G64370,gene
AT5G48840,gene,AT1G65960,gene
AT5G48840,gene,AT1G23800,gene
AT1G65960,gene,AT5G64370,gene
