,0,1,2
AT1G48130,AT1G48130,"1-CYSTEINE PEROXIREDOXIN 1,  ATPER1,  PER1",encodes a protein similar to the 1-cysteine (1-Cys) peroxiredoxin family of antioxidants. Expression is limited to seed (aleurone and embryo) and is not induced by ABA or drought.
AT1G48300,AT1G48300,"DGAT3,  DIACYLGLYCEROL ACYLTRANSFERASE 3",Cytosolic iron-sulfur protein with a [2Fe-2S] cluster which synthesizes triacylglycerol (DGAT activity).
AT1G48320,AT1G48320,"DHNA-COA THIOESTERASE 1,  DHNAT1","Encodes one of the two functional DHNA-CoA (1,4-dihydroxy-2-naphthoyl-CoA) thioesterases found in Arabidopsis."
AT1G48420,AT1G48420,"1-AMINOCYCLOPROPANE-1-CARBOXYLIC ACID DEAMINASE 1,  A. THALIANA 1-AMINOCYCLOPROPANE-1-CARBOXYLIC ACID DEAMINASE 1,  ACD1,  ATACD1,  ATDCD,  D-CDES,  D-CYSTEINE DESULFHYDRASE,  DCD","Encodes an enzyme that decomposes D-cysteine into pyruvate, H2S, and NH3.  Only D-cysteine but not L-cysteine was converted by D-CDes to pyruvate, H2S, and NH3. There is conflicting evidence on its 1-aminocyclopropane-1-carboxylate deaminase activity. Involved in regulating ethylene levels. DCD enhances plant cadmium tolerance by promoting hydrogen sulfide production."
AT1G48430,AT1G48430,,Dihydroxyacetone kinase;(source:Araport11)
AT1G48470,AT1G48470,"GLN1;5,  GLUTAMINE SYNTHETASE 1;5",Encodes cytosolic glutamine synthase isozyme.  Expression of mRNA is not detectable in roots.
AT1G48520,AT1G48520,"GATB,  GLU-ADT SUBUNIT B",Encodes Glu-tRNA(Gln) amidotransferase subunit B (from Genbank record AF239836).
AT1G48600,AT1G48600,"ATPMEAMT,  ATPMT2,  PHOSPHOETHANOLAMINE METHYLTRANSFERASE2,  PHOSPHOETHANOLAMINE N-METHYLTRANSFERASE,  PMEAMT",Encodes a phosphoethanolamine N-methyltransferase that catalyses the last two methylation steps of the three sequential methylations of phosphoethanolamine (PEA) that are required for the synthesis of phosphocholine (PCho) in plants.
AT1G48605,AT1G48605,"ATHAL3B,  HAL3,  HAL3B,  HALOTOLERANCE DETERMINANT 3,  HALOTOLERANCE DETERMINANT 3B","Encodes a protein similar to yeast HAL3, which regulates the cell cycle and tolerance to salt stress through inhibition of the PPZ1 type-1 protein phosphatase. AtHAL3b mRNA levels are induced by salt stress.  HAL3B presumably encodes for phosphopantothenoylcysteine decarboxylase being involved in Coenzyme A biosynthesis as indicated by functional complementation of a double mutant hal3 aaBb."
AT1G48850,AT1G48850,"EMB1144,  EMBRYO DEFECTIVE 1144",Flavoenzyme-encoding gene essential for embryo development.
AT1G48860,AT1G48860,"5-ENOLPYRUVYLSHIKIMATE-3-PHOSPHATE SYNTHASE,  EPSPS",5-enolpyruvylshikimate-3-phosphate synthase involved in shikimic acid biosynthesis.
AT1G49190,AT1G49190,"ARR19,  RESPONSE REGULATOR 19,  RR19",member of Response Regulator: B- Type
AT1G49340,AT1G49340,ATPI4K ALPHA,Encodes a phosphatidylinositol 4-kinase that is expressed in inflorescences and shoots.
AT1G49430,AT1G49430,"LACS2,  LATERAL ROOT DEVELOPMENT 2,  LONG-CHAIN ACYL-COA SYNTHETASE 2,  LRD2",Encodes a long chain acyl-CoA synthetase that catalyzes the synthesis of omega-hydroxy fatty acyl-CoA intermediates in the pathway to cutin synthesis. Required for repression of lateral root formation.
AT1G49530,AT1G49530,"GERANYLGERANYL PYROPHOSPHATE SYNTHASE 1,  GERANYLGERANYL PYROPHOSPHATE SYNTHASE 6,  GFPPS3,  GGPPS1,  GGPS6",encodes a mitochondria-targeted geranylgeranyl pyrophosphate synthase
AT1G49710,AT1G49710,"ATFUT12,  FUCOSYLTRANSFERASE 12,  FUCT2,  FUCTB,  FUT12","Encodes a protein with core α1,3-fucosyltransferase activity."
AT1G49820,AT1G49820,"5-METHYLTHIORIBOSE KINASE 1,  ATMTK,  MTK,  MTK1,  S-METHYL-5-THIORIBOSE KINASE","encodes 5-methylthioribose kinase, involved in methionine cycle The mRNA is cell-to-cell mobile."
AT1G50030,AT1G50030,"TARGET OF RAPAMYCIN,  TOR","Related to TOR proteins from yeast and mammals, regulators of cell growth in response to nutrient availability. TOR proteins belong to the family of phosphatidylinositol 3-kinase and are targets of the antiproliferative drug rapamycin. AtTOR binds the yeast FKBP12 protein in the presence of Rapamycin, is involved in embryogenesis and is expressed in embryos, endosperm and meristems. Participates in negatively  modulating ethylene signals and the molecular mechanism is likely involved in the regulation of  ethylene biosynthesis by affecting ACSs in transcription and protein levels"
AT1G50060,AT1G50060,,"CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein;(source:Araport11)"
AT1G50430,AT1G50430,"7RED,  DELTA5,7-STEROL DELTA7 REDUCTASE,  DWARF 5,  DWF5,  LE,  LEPIDA,  PA,  PARVA,  ST7R,  STEROL DELTA7 REDUCTASE",Mutants are defective in Brassinosteroid biosynthesis (delta7-sterol-C7 reduction step) and have a dwarf phenotype. EXO70 interactor and presumed negative secretion regulator.
AT1G50480,AT1G50480,"10-FORMYLTETRAHYDROFOLATE SYNTHETASE,  THFS","10-formyltetrahydrofolate synthetase (THFS) mRNA, complete The mRNA is cell-to-cell mobile."
AT1G50510,AT1G50510,"PSEUDOURIDINE MONOPHOSPHATE GLYCOSYLASE,  PUMY",5'-pseudouridine monophosphate Glycosylase (PUMY) that hydrolyzes 5'-pseudouridine monophosphate to uracil and ribose-5-phosphate. Acts together with the a pseudouridine kinase PUKI in the peroxisome to prevent toxic pseudouridine monophosphate accumulation.
AT1G51420,AT1G51420,"ATSPP1,  SPP1,  SUCROSE-PHOSPHATASE 1",sucrose-phosphatase 1;(source:Araport11)
AT1G51590,AT1G51590,"ALPHA-MANNOSIDASE 1,  ALPHA-MANNOSIDASE IB,  MANIB,  MNS1",Encodes an alpha-mannosidase I enzyme responsible for N-glycan maturation.
AT1G51660,AT1G51660,"ARABIDOPSIS THALIANA MITOGEN-ACTIVATED PROTEIN KINASE KINASE 4,  ATMEK4,  ATMKK4,  MITOGEN-ACTIVATED PROTEIN KINASE KINASE 4,  MKK4","Encodes a mitogen-activated map kinase kinase (there are nine in Arabidopsis) involved in innate immunity. This protein activates MPK3/MPK6 and early-defense genes redundantly with MKK5. In plants with both MKK5 and MKK4 levels reduced by RNAi plants, floral organs do not abscise suggestion a role for both proteins in mediating floral organ abscission. The mRNA is cell-to-cell mobile."
AT1G51680,AT1G51680,"4-COUMARATE:COA LIGASE 1,  4CL.1,  4CL1,  ARABIDOPSIS THALIANA 4-COUMARATE:COA LIGASE 1,  AT4CL1","encodes an isoform of 4-coumarate:CoA ligase (4CL), which is involved in the last step of the general phenylpropanoid pathway. In addition to 4-coumarate, it also converts ferulate.  The catalytic efficiency was in the following (descending) order:  p-coumaric acid, ferulic acid, caffeic acid and 5-OH-ferulic acid. At4CL1 was unable to use sinapic acid as substrate."
AT1G51720,AT1G51720,,Amino acid dehydrogenase family protein;(source:Araport11)
AT1G52340,AT1G52340,"ABA DEFICIENT 2,  ABA2,  ARABIDOPSIS THALIANA ABA DEFICIENT 2,  ATABA2,  ATSDR1,  GIN1,  GLUCOSE INSENSITIVE 1,  IMPAIRED SUCROSE INDUCTION 4,  ISI4,  SALT RESISTANT 1,  SDR1,  SHORT-CHAIN DEHYDROGENASE REDUCTASE 1,  SHORT-CHAIN DEHYDROGENASE/REDUCTASE 1,  SIS4,  SRE1,  SUGAR-INSENSITIVE 4",Encodes a cytosolic short-chain dehydrogenase/reductase involved in the conversion of xanthoxin to ABA-aldehyde during ABA biosynthesis.  Mutants are insensitive to sucrose and glucose.
AT1G52400,AT1G52400,"A. THALIANA BETA-GLUCOSIDASE 1,  ATBG1,  BETA GLUCOSIDASE 18,  BETA-GLUCOSIDASE HOMOLOG 1,  BGL1,  BGLU18","encodes a member of glycosyl hydrolase family 1, located in inducible ER bodies which were formed after wounding, required in inducible ER body formation The mRNA is cell-to-cell mobile."
AT1G52570,AT1G52570,"PHOSPHOLIPASE D ALPHA 2,  PLDALPHA2",member of C2-PLD subfamily
AT1G52760,AT1G52760,"ATMAGL3,  CAFFEOYL SHIKIMATE ESTERASE,  CSE,  LYSOPHOSPHOLIPASE 2,  LYSOPL2",Encodes caffeoyl shikimate esterase and is involved in lignin biosynthesis. CSE converts caffeoyl shikimate to caffiate. Loss of function mutations have reduced lignin content and collapsed vessel elements. It is also reported to function as a lysophospholipase 2 (LysoPL2) involved in tolerance to cadmium-induced oxidative stress.  Binds Acyl-CoA-binding protein 2 (ACBP2).
AT1G53310,AT1G53310,"ATPEPC1,  ATPPC1,  PEP(PHOSPHOENOLPYRUVATE) CARBOXYLASE 1,  PEPC1,  PHOSPHOENOLPYRUVATE CARBOXYLASE 1,  PPC1",Encodes one of four Arabidopsis phosphoenolpyruvate carboxylase proteins.Plays an important role in carbon and nitrogen metabolism.
AT1G53500,AT1G53500,"ARABIDOPSIS THALIANA MUCILAGE-MODIFIED 4,  ARABIDOPSIS THALIANA RHAMNOSE BIOSYNTHESIS 2,  ATMUM4,  ATRHM2,  MUCILAGE-MODIFIED 4,  MUM4,  RHAMNOSE BIOSYNTHESIS 2,  RHM2","encodes a putative NDP-L-rhamnose synthase, an enzyme required for the synthesis of the pectin rhamnogalacturonan I, the major component of Arabidopsis mucilage. Gene is involved in seed coat mucilage cell development. Mutant analyses suggest that MUM4 is required for complete mucilage synthesis, cytoplasmic rearrangement and seed coat development."
AT1G53580,AT1G53580,"ETHE1,  ETHE1-LIKE,  ETHYLMALONIC ENCEPHALOPATHY PROTEIN1,  GLX2-3,  GLY3,  GLYOXALASE 2-3,  GLYOXALASE II  3","Mononuclear Fe(II)-containing member of  the b-lactamase fold superfamily. ETHE1 is homodimeric in  solution, exhibits low-level esterase activity, and specifically binds  a single Fe(II) atom in the active site."
AT1G53710,AT1G53710,,Calcineurin-like metallo-phosphoesterase superfamily protein;(source:Araport11)
AT1G54100,AT1G54100,"ALDEHYDE DEHYDROGENASE 7B4,  ALDH7B4",Aldehyde dehydrogenase
AT1G54130,AT1G54130,"AT-RSH3,  ATRSH3,  RELA/SPOT HOMOLOG 3,  RSH3","This gene appears to be at least partially redundant with RSH2 (At3g14050). Guanosine tetraphosphate synthesized by RSH2/RSH3 (and CRSH At3g17470) to an unknown extent can repress chloroplast gene expression, and also reduce chloroplast size. Involved in the maintenance of the (p)ppGp level to accustom plastidial gene expression to darkness."
AT1G54210,AT1G54210,"APG12,  ATATG12,  ATG12A,  AUTOPHAGY 12,  AUTOPHAGY 12 A",Autophagy protein.
AT1G54340,AT1G54340,"ICDH,  ISOCITRATE DEHYDROGENASE",NADP-specific isocitrate dehydrogenase (ICDH) The mRNA is cell-to-cell mobile.
AT1G54490,AT1G54490,"ACC INSENSITIVE 1,  AIN1,  ATXRN4,  EIN5,  ETHYLENE INSENSITIVE 5,  EXORIBONUCLEASE 4,  XRN4",Involved in the ethylene response. XRN4 does not appear to regulate ethylene signaling via an RNA-INDUCED SILENCING COMPLEX-based RNA silencing mechanism but acts by independent means. Endogenous suppressor of posttranscriptional gene silencing. The mRNA is cell-to-cell mobile.
AT1G55020,AT1G55020,"ARABIDOPSIS LIPOXYGENASE 1,  ATLOX1,  LIPOXYGENASE 1,  LOX1","lipoxygenase, a defense gene conferring resistance Xanthomonas campestris The mRNA is cell-to-cell mobile."
AT1G55090,AT1G55090,,carbon-nitrogen hydrolase family protein;(source:Araport11)
AT1G55290,AT1G55290,F6'H2,"encodes a protein whose sequence is similar to oxidoreductase, 2OG-Fe(II) oxygenase"
AT1G55570,AT1G55570,"SKS12,  SKU5  SIMILAR 12",SKU5 similar 12;(source:Araport11)
AT1G55740,AT1G55740,"ATSIP1,  RAFFINOSE SYNTHASE 1,  RS1,  SEED IMBIBITION 1,  SIP1",seed imbibition 1;(source:Araport11)
AT1G55880,AT1G55880,,Pyridoxal-5-phosphate-dependent enzyme family protein;(source:Araport11)
AT1G55920,AT1G55920,"ATSAT1,  ATSERAT2;1,  SAT1,  SAT5,  SERAT2;1,  SERINE ACETYLTRANSFERASE 1,  SERINE ACETYLTRANSFERASE 2;1,  SERINE ACETYLTRANSFERASE 5",Encodes a chloroplast/cytosol localized serine O-acetyltransferase involved in sulfur assimilation and cysteine biosynthesis. Expressed in the vascular system. The mRNA is cell-to-cell mobile.
AT1G56190,AT1G56190,"AT1G56190-CVI,  CPGK2,  PGK2,  PGKP2","One of a pair of plastid localized phosphoglycerate kinases involved in galactolipid biosynthesis. Functions redundantly with AT3g12780 (PGK1) in the chloroplast in the biosynthesis of thylakoid membrane galactolipids. Double mutants are photosynthetically incompetent, plants are albino and seedling lethal."
AT1G56650,AT1G56650,"ARABIDOPSIS THALIANA PRODUCTION OF ANTHOCYANIN PIGMENT 1,  ATMYB75,  ATPAP1,  MYB DOMAIN PROTEIN 75,  MYB75,  MYELOBLASTOSIS PROTEIN 75,  PAP1,  PAP1-D,  PRODUCTION OF ANTHOCYANIN PIGMENT 1,  SIAA1,  SUC-INDUCED ANTHOCYANIN ACCUMULATION 1",Encodes a putative MYB domain containing transcription factor involved in anthocyanin metabolism and radical scavenging. Essential for the sucrose-mediated expression of the dihydroflavonol reductase gene. Auxin and ethylene responsiveness of PAP1 transcription is lost in myb12 mutants. Interacts with JAZ  proteins to regulate anthocyanin accumulation.
AT1G56680,AT1G56680,,Chitinase family protein;(source:Araport11)
AT1G57750,AT1G57750,"CYP96A15,  CYTOCHROME P450, FAMILY 96, SUBFAMILY A, POLYPEPTIDE 15,  MAH1,  MID-CHAIN ALKANE HYDROXYLASE 1","Encodes a CYP96A15, midchain alkane hydroxylase, involved in cuticular wax biosynthesis."
AT1G58300,AT1G58300,"HEME OXYGENASE 4,  HO4",Encodes a member (HO4) of the heme oxygenase family.
AT1G58440,AT1G58440,"DROUGHT HYPERSENSITIVE 2,  DRY2,  SQE1,  SQUALENE EPOXIDASE 1,  XF1","Encodes a putative protein that has been speculated, based on sequence similarities, to have squalene monooxygenase activity."
AT1G58470,AT1G58470,"ATRBP1,  RBP1,  RNA-BINDING PROTEIN 1","Encodes an mRNA-binding protein that contains two RNA recognition motifs (RRMs) and is expressed in proliferating tissues. Preferentially binds UUAGG, GUAGG and/or UUAGU. Loss of function of RBP1 causes decreased root length."
AT1G60440,AT1G60440,"ATCOAA,  ATPANK1,  PANK1,  PANTOTHENATE KINASE 1",The gene AT1G60440 encodes pantothenate kinase 1. Its molecular function was shown to phosphorylate pantothenate to form 4’-phosphopantothenate.
AT1G60490,AT1G60490,"ATVPS34,  PHOSPATIDYLINOSITOL 3-KINASE,  PI3K,  VACUOLAR PROTEIN SORTING 34,  VPS34",Encodes a phosphatidylinositol 3-kinase that is expressed in most plant tissues. Defects in VPS34 affect a number of cellular processes. Loss of function mutations are not transmitted through the male gametophyte due to defects in microgametogenesis therefore it is difficult to assess the effects of loss of VPS34 function in the whole plant. Involved in salt-stress responses.
AT1G60550,AT1G60550,"DHNS,  ECHID,  ENOYL-COA HYDRATASE/ISOMERASE D",enoyl-CoA hydratase/isomerase D;(source:Araport11)
AT1G60600,AT1G60600,"ABC4,  ABERRANT CHLOROPLAST DEVELOPMENT 4","Encodes a protein similar to 1,4-dihydroxy-2-naphthoic acid phytyltransferase involved in phylloquinone and plastoquinone biosynthesis. Mutants are pale green and heterotrophic with defects in photosynthetic electron transport."
AT1G61050,AT1G61050,,"alpha 1,4-glycosyltransferase family protein;(source:Araport11)"
AT1G61120,AT1G61120,"GERANYLLINALOOL SYNTHASE,  GES,  TERPENE SYNTHASE 04,  TERPENE SYNTHASE 4,  TPS04,  TPS4","Encodes a geranyllinalool synthase that produces a precursor to TMTT, a volatile plant defense C16-homoterpene. GES transcript levels rise in response to alamethicin, a fungal peptide mixture that damages membranes. This transcriptional response is blocked in JA biosynthetic and JA signaling mutants, but GES transcript levels still rise in response to alamethicin in mutants with salicylic acid and ethylene biosynthetic and/or signaling defects. GES transcripts also accumulate in response to a larval infestation. This enzyme does not localize to the plastids, and it may be present in the cytosol or endoplasmic reticulum. The mRNA is cell-to-cell mobile."
AT1G61680,AT1G61680,"ATTPS14,  TERPENE SYNTHASE 14,  TPS14",terpene synthase 14;(source:Araport11)
AT1G61720,AT1G61720,"BAN,  BANYULS","Negative regulator of flavonoid biosynthesis, mutants accumulate flavonoid pigments in their seed coat, putative oxidoreductase. It is thought that a ternary complex composed of TT2, TT8 and TTG1 is necessary for correct expression of BAN in seed endothelium."
AT1G62040,AT1G62040,"ATG8C,  AUTOPHAGY 8C",Autophagy protein.
AT1G62180,AT1G62180,"3'-PHOSPHOADENOSINE-5'-PHOSPHOSULFATE (PAPS) REDUCTASE HOMOLOG 43,  5'ADENYLYLPHOSPHOSULFATE REDUCTASE 2,  ADENOSINE-5'-PHOSPHOSULFATE REDUCTASE,  APR2,  APSR,  ATAPR2,  PRH,  PRH43","encodes a adenosine 5'-phosphosulfate reductase, involved in sulfate assimilation. Is a major effect locus for natural variation of shoot sulfate content in Arabidopsis."
AT1G62430,AT1G62430,"ATCDS1,  CDP-DIACYLGLYCEROL SYNTHASE 1,  CDS1","Encodes a CDP-diacylglycerol synthase, involved in phospholipid biosynthesis."
AT1G62640,AT1G62640,"3-KETOACYL-ACYL CARRIER PROTEIN SYNTHASE III,  KAS III",3-ketoacyl-acyl carrier protein synthase III (KAS III)
AT1G62800,AT1G62800,"ASP4,  ASPARTATE AMINOTRANSFERASE 4",Encodes aspartate aminotransferase (Asp4).
AT1G63000,AT1G63000,"NRS/ER,  NUCLEOTIDE-RHAMNOSE SYNTHASE/EPIMERASE-REDUCTASE,  UDP-4-KETO-6-DEOXY-D-GLUCOSE-3,5-EPIMERASE-4-REDUCTASE 1,  UER1",nucleotide-rhamnose synthase/epimerase-reductase;(source:Araport11)
AT1G63290,AT1G63290,,Aldolase-type TIM barrel family protein;(source:Araport11)
AT1G63460,AT1G63460,"ATGPX8,  GLUTATHIONE PEROXIDASE 8,  GPX8,  GPXL8",Encodes GPX8 (glutathione peroxidase 8). Involved in the suppression of oxidative damages in nucleus and cytosol. The mRNA is cell-to-cell mobile.
AT1G63660,AT1G63660,,"GMP synthase (glutamine-hydrolyzing), putative / glutamine amidotransferase;(source:Araport11)"
AT1G63700,AT1G63700,"EMB71,  EMBRYO DEFECTIVE 71,  MAP KINASE KINASE KINASE 4,  MAPKKK4,  YDA,  YODA","Member of MEKK subfamily, a component of the stomatal development regulatory pathway.  Mutations in this locus result in embryo lethality."
AT1G63770,AT1G63770,,Peptidase M1 family protein;(source:Araport11)
AT1G63940,AT1G63940,"MDAR6,  MONODEHYDROASCORBATE REDUCTASE 6",monodehydroascorbate reductase 6;(source:Araport11)
AT1G63970,AT1G63970,"2C-METHYL-D-ERYTHRITOL 2,4-CYCLODIPHOSPHATE SYNTHASE,  ISOPRENOID F,  ISPF,  MECPS","Encodes a protein with 2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase activity. The protein's activity was confirmed by heterologous expression of phenotypic complementation of the E. coli ispF mutant. Plants defective in this gene display an albino lethal phenotype.Homolog of E. coli IspF"
AT1G64190,AT1G64190,"6-PHOSPHOGLUCONATE DEHYDROGENASE 1,  PGD1",6-phosphogluconate dehydrogenase family protein;(source:Araport11)
AT1G64280,AT1G64280,"ARABIDOPSIS NONEXPRESSER OF PR GENES 1,  ATNPR1,  NIM1,  NON-INDUCIBLE IMMUNITY 1,  NONEXPRESSER OF PR GENES 1,  NPR1,  SAI1,  SALICYLIC ACID INSENSITIVE 1","This gene is a key regulator of the salicylic acid (SA)-mediated systemic acquired resistance (SAR) pathway. It is similar to the transcription factor inhibitor I kappa B, and contains ankyrin repeats. It confers resistance to the pathogens Pseudomonas syringae and Peronospora parasitica in a dosage-dependent fashion. Although transgenic Arabidopsis plants overexpressing NPR1 acquire enhanced sensitivity to SA and (benzothiadiazole) BTH, they display no obvious detrimental morphological changes and do not have elevated pathogenesis-related gene expression until activated by inducers or pathogens."
AT1G64660,AT1G64660,"ATMGL,  METHIONINE GAMMA-LYASE,  MGL","Encodes a functional methionine gamma-lyase, a cytosolic enzyme catalyzes the degradation of methionine into methanethiol, alpha-ketobutyrate and ammonia. The catabolism of excess methionine is important to methionine homeostasis. The mRNA is cell-to-cell mobile."
AT1G64750,AT1G64750,"ATDSS1(I),  DELETION OF SUV3 SUPPRESSOR 1(I),  DSS1(I)",Involved in the maintenance of genome integrity through homologous recombination. This function of DSS1 is performed through its interaction with the BRCA2 protein.
AT1G64970,AT1G64970,"G-TMT,  GAMMA-TOCOPHEROL METHYLTRANSFERASE,  TMT1,  VITAMIN E DEFICIENT 4,  VTE4","gamma-tocopherol methyltransferase (g-TMT) mRNA, nuclear; mutant has Deficient in alpha and beta tocopherol; Accumulates gamma tocopherol in leaves"
AT1G65480,AT1G65480,"FLOWERING LOCUS T,  FT,  REDUCED STEM BRANCHING 8,  RSB8","FT, together with LFY, promotes flowering and is antagonistic with its homologous gene, TERMINAL FLOWER1 (TFL1). Together with TSF, it plays an antagonistic role to TFL1 in the determination of inflorescence meristem identity. FT is expressed in leaves and is induced by long day treatment. Either the FT mRNA or protein is translocated to the shoot apex where it induces its own expression. Recent data suggests that FT protein acts as a long-range signal. FT is a target of CO and acts upstream of SOC1."
AT1G65840,AT1G65840,"ATPAO4,  PAO4,  POLYAMINE OXIDASE 4","encodes a peroxisomal polyamine oxidase, involved in the back-conversion polyamine degradation pathway. Among the five polyamine oxidases in the Arabidopsis genome, PAO4 is the major isoform in root peroxisomes. The mRNA is cell-to-cell mobile."
AT1G65960,AT1G65960,"GAD2,  GLUTAMATE DECARBOXYLASE 2",glutamate decarboxylase (GAD2) The mRNA is cell-to-cell mobile.
AT1G66410,AT1G66410,"ACAM-4,  CALMODULIN 4,  CAM4",encodes a calmodulin
AT1G66500,AT1G66500,,Pre-mRNA cleavage complex II;(source:Araport11)
AT1G66520,AT1G66520,"PDE194,  PIGMENT DEFECTIVE 194",formyltransferase;(source:Araport11)
AT1G67070,AT1G67070,"DARK INDUCIBLE 9,  DIN9,  PHOSPHOMANNOSE ISOMERASE 2,  PMI2","Encodes a protein with phosphomannose isomerase activity that is involved in synthesis of ascorbic acid. Expression is induced after 24 hours of dark treatment, in senescing leaves and treatment with exogenous photosynthesis inhibitor. Induction of gene expression was suppressed in excised leaves supplied with sugar. The authors suggest that the gene's expression pattern is responding to the level of sugar in the cell."
AT1G67090,AT1G67090,"RBCS1A,  RIBULOSE BISPHOSPHATE CARBOXYLASE SMALL CHAIN 1A","Encodes a member of the Rubisco small subunit (RBCS) multigene family: RBCS1A (At1g67090), RBCS1B (At5g38430), RBCS2B (At5g38420), and RBCS3B (At5g38410). Functions to yield sufficient Rubisco content for leaf photosynthetic capacity."
AT1G67110,AT1G67110,"CYP735A2,  CYTOCHROME P450, FAMILY 735, SUBFAMILY A, POLYPEPTIDE 2","cytochrome P450, family 735, subfamily A, polypeptide 2;(source:Araport11)"
AT1G67440,AT1G67440,"EMB1688,  EMBRYO DEFECTIVE 1688,  RSGA,  SMALL RIBOSOMAL SUBUNIT BIOGENESIS GTPASE","Homolog of bacterial rsgA, functions in chloroplast ribosome biogenesis."
AT1G67550,AT1G67550,"URE,  UREASE",Encodes a nickel-containing urea hydrolase involved in nitrogen recycling.  It requires three urease accessory proteins for its activation. The mRNA is cell-to-cell mobile.
AT1G67990,AT1G67990,"ATTSM1,  TAPETUM-SPECIFIC METHYLTRANSFERASE 1,  TSM1","Encodes a tapetum-specific O-methyltransferase. In vitro enzyme assay indicated activity with caffeoyl-CoA, caffeoyl glucose, chlorogenic acid and polyamine conjugates. RNAi mutants had impaired silique development and seed setting."
AT1G68000,AT1G68000,"ATPIS,  ATPIS1,  PHOSPHATIDYLINOSITOL SYNTHASE,  PHOSPHATIDYLINOSITOL SYNTHASE 1,  PIS1",phosphatidylinositol synthase 1
AT1G68010,AT1G68010,"ATHPR1,  HPR,  HYDROXYPYRUVATE REDUCTASE",Encodes hydroxypyruvate reductase.
AT1G68890,AT1G68890,PHYLLO,Homologous to the four eubacterial men genes involved in menanoquinone biosynthesis. Studies of mutants defective in this gene demonstrated its involvement in phylloquinone biosynthesis in Arabidopsis. The mRNA is cell-to-cell mobile.
AT1G69190,AT1G69190,,encodes a bifunctional cytosolic hydroxymethyldihydropterin pyrophosphokinase/ dihydropteroate synthase (HPPK/DHPS)that is involved in tetrahydrofolate biosynthesis and is responsive to oxidative stress.
AT1G69370,AT1G69370,"ATCM3,  CHORISMATE MUTASE 3,  CM-3,  CM3",Encodes chorismate mutase 3 (CM3).
AT1G69500,AT1G69500,"CYP704B1,  CYTOCHROME P450, FAMILY 704, SUBFAMILY B, POLYPEPTIDE 1","Encodes a cytochrome P450, designated CYP704B1. Expressed in the developing anthers.  Essential for pollen exine development. Mutations in CYP704B1 result in impaired pollen walls that lack a normal exine layer and exhibit a characteristic striped surface, termed zebra phenotype. Heterologous expression of CYP704B1 in yeast cells demonstrated that it catalyzes omega-hydroxylation of long-chain fatty acids, implicating these molecules in sporopollenin synthesis."
AT1G69770,AT1G69770,"CHROMOMETHYLASE 3,  CMT3","Encodes a chromomethylase involved in methylating cytosine residues at non-CG sites.  Involved in preferentially methylating transposon-related sequences, reducing their mobility. CMT3 interacts with an Arabidopsis homologue of HP1 (heterochromatin protein 1), which in turn interacts with methylated histones.  Involved in gene silencing."
AT1G69820,AT1G69820,"GAMMA-GLUTAMYL TRANSPEPTIDASE 3,  GAMMA-GLUTAMYL TRANSPEPTIDASE 4,  GGT3,  GGT4",Note that conflicting nomenclature exists in the literature: At1g69820 is named as GGT4 in Plant J. 2007 Mar 49(5):878-88;  and as GGT3 in Plant Physiol. 2007 Aug 144(4):1715-32.
AT1G69830,AT1G69830,"ALPHA-AMYLASE-LIKE 3,  AMY3,  ATAMY3",Encodes a plastid-localized α-amylase. Expression is reduced in the SEX4 mutant. Loss of function mutations show normal diurnal pattern of starch accumulation/degradation.  Expression follows circadian rhythms.
AT1G70980,AT1G70980,SYNC3,Class II aminoacyl-tRNA and biotin synthetases superfamily protein;(source:Araport11)
AT1G71100,AT1G71100,"RADIAL SWELLING 10,  RSW10",Encodes a ribose 5-phosphate isomerase involved in the formation of uridine used for the synthesis of UDP-sugars. Mutants of this gene are affected in cellulose biosynthesis.
AT1G71170,AT1G71170,,6-phosphogluconate dehydrogenase family protein;(source:Araport11)
AT1G71697,AT1G71697,"ATCK1,  CEK1,  CHOLINE KINASE,  CHOLINE KINASE 1,  CHOLINE/ETHANOLAMINE KINASE 1,  CK,  CK1",Encodes choline kinase.  mRNA levels are increased in response to wounding. The mRNA is cell-to-cell mobile.
AT1G71750,AT1G71750,"HGPT,  HYPOXANTHINE-GUANINE PHOSPHORIBOSYLTRANSFERASE","Encodes a protein with  hypoxanthine-guanine-phosphoribosyltransferase activity. Unlike some related enzymes, it does not appear to act on xanthine in vitro. The enzyme catalyzes reactions occurring in both directions, but appears to prefer acting on guanine, followed by hypoxanthine, in vitro. The enzyme is likely to function in purine salvage pathways and appears to be important for seed germination."
AT1G71920,AT1G71920,"HISN6B,  HISTIDINE BIOSYNTHESIS 6B","Encodes a protein that is believed to act as a histidinol-phosphate transaminase involved in histidine biosynthesis. If the gene encoding the other protein shown to have this function, HISN6A (AT5G10330), is disrupted, a residual level of histidine biosynthesis continues, suggesting that HISN6B can somewhat compensate for the loss of HISN6A."
AT1G71990,AT1G71990,"ARABIDOPSIS FUCOSYLTRANSFERASE 4,  ATFT4,  ATFUT13,  FT4-M,  FUCOSYLTRANSFERASE 13,  FUCTC,  FUT13","This gene encodes a Lewis-type alpha 1,4-fucosyltransferase"
